id,type,value
M131,meta,True
I134,input,0
M132,meta,True
MM43,meta-meta,True
I135,input,1
M133,meta,False
I136,input,0
M134,meta,False
I137,input,1
M135,meta,True
MM44,meta-meta,False
I138,input,0
M136,meta,True
I139,input,1
M137,meta,False
I140,input,1
M138,meta,True
MM45,meta-meta,True
I141,input,0
M139,meta,False
I142,input,0
M140,meta,True
I143,input,0
M141,meta,True
MM46,meta-meta,True
I144,input,1
M142,meta,True
I145,input,0
M143,meta,True
I146,input,1
M144,meta,False
MM47,meta-meta,True
I147,input,0
M145,meta,False
I148,input,0
M146,meta,True
I149,input,0
M147,meta,True
MM48,meta-meta,True
I150,input,1
M148,meta,True
I151,input,0
M149,meta,True
I152,input,1
M150,meta,False
MM49,meta-meta,True
I153,input,0
M151,meta,False
I154,input,0
M152,meta,True
I155,input,1
M153,meta,True
MM50,meta-meta,True
I156,input,1
M154,meta,True
I157,input,0
M155,meta,True
I158,input,0
M156,meta,True
MM51,meta-meta,True
I159,input,1
M157,meta,False
I160,input,1
M158,meta,True
I161,input,1
M159,meta,True
MM52,meta-meta,True
I162,input,1
M160,meta,True
I163,input,1
M161,meta,True
I164,input,1
M162,meta,True
MM53,meta-meta,True
I165,input,1
M163,meta,True
I166,input,0
M164,meta,False
I167,input,0
M165,meta,True
MM54,meta-meta,True
I168,input,1
M166,meta,True
I169,input,0
M167,meta,True
I170,input,0
M168,meta,True
MM55,meta-meta,True
I171,input,0
M169,meta,True
I172,input,1
M170,meta,False
I173,input,0
M171,meta,False
MM56,meta-meta,False
I174,input,1
M172,meta,True
I175,input,0
M173,meta,True
I176,input,0
M174,meta,True
MM57,meta-meta,True
I177,input,0
M175,meta,True
I178,input,1
M176,meta,False
I179,input,0
M177,meta,False
MM58,meta-meta,False
I180,input,1
M178,meta,True
I181,input,0
M179,meta,True
I182,input,0
M180,meta,True
MM59,meta-meta,True
I183,input,0
M181,meta,True
I184,input,1
M182,meta,False
I185,input,0
M183,meta,False
MM60,meta-meta,False
I186,input,1
M184,meta,True
I187,input,0
M185,meta,True
I188,input,1
M186,meta,False
MM61,meta-meta,True
I189,input,1
M187,meta,True
I190,input,0
M188,meta,False
I191,input,1
M189,meta,True
MM62,meta-meta,True
I192,input,0
M190,meta,True
I193,input,1
M191,meta,False
I194,input,1
M192,meta,True
MM63,meta-meta,True
I195,input,1
M193,meta,True
I196,input,1
M194,meta,True
I197,input,1
M195,meta,True
MM64,meta-meta,True
I198,input,1
M196,meta,True
I199,input,0
M197,meta,False
I200,input,1
M198,meta,True
MM65,meta-meta,True
I201,input,0
M199,meta,True
I202,input,0
M200,meta,True
I203,input,1
M201,meta,False
MM66,meta-meta,True
I204,input,0
M202,meta,False
I205,input,0
M203,meta,True
I206,input,1
M204,meta,True
MM67,meta-meta,True
I207,input,1
M205,meta,True
I208,input,0
M206,meta,True
I209,input,0
M207,meta,True
MM68,meta-meta,True
I210,input,0
M208,meta,True
I211,input,1
M209,meta,False
I212,input,1
M210,meta,True
MM69,meta-meta,True
I213,input,0
M211,meta,False
I214,input,1
M212,meta,True
I215,input,0
M213,meta,True
MM70,meta-meta,True
I216,input,0
M214,meta,True
I217,input,1
M215,meta,False
I218,input,0
M216,meta,False
MM71,meta-meta,False
I219,input,1
M217,meta,True
I220,input,0
M218,meta,True
I221,input,1
M219,meta,False
MM72,meta-meta,True
I222,input,1
M220,meta,True
I223,input,0
M221,meta,False
I224,input,0
M222,meta,True
MM73,meta-meta,True
I225,input,0
M223,meta,True
I226,input,1
M224,meta,True
I227,input,0
M225,meta,True
MM74,meta-meta,True
I228,input,0
M226,meta,True
I229,input,1
M227,meta,False
I230,input,1
M228,meta,True
MM75,meta-meta,True
I231,input,1
M229,meta,True
I232,input,1
M230,meta,True
I233,input,1
M231,meta,True
MM76,meta-meta,True
I234,input,0
M232,meta,False
I235,input,1
M233,meta,True
I236,input,1
M234,meta,True
MM77,meta-meta,True
I237,input,1
M235,meta,True
I238,input,1
M236,meta,True
I239,input,1
M237,meta,True
MM78,meta-meta,True
I240,input,1
M238,meta,True
I241,input,1
M239,meta,True
I242,input,0
M240,meta,True
MM79,meta-meta,True
I243,input,1
M241,meta,False
I244,input,0
M242,meta,False
I245,input,1
M243,meta,True
MM80,meta-meta,False
I246,input,1
M244,meta,True
I247,input,0
M245,meta,True
I248,input,0
M246,meta,True
MM81,meta-meta,True
I249,input,0
